education_key,literacy_rate_total,literacy_rate_male,literacy_rate_female,enrollment_rate_primary_total,enrollment_rate_primary_male,enrollment_rate_primary_female,enrollment_rate_secondary_total,enrollment_rate_secondary_male,enrollment_rate_secondary_female,enrollment_rate_tertiary_total,enrollment_rate_tertiary_male,enrollment_rate_tertiary_female,public_education_spending
54,,,,98.64160156,98.39224243,98.90505981,102.3984833,103.5829773,101.1566925,61.65584946,52.04627,71.8228302,5.356369972
55,,,,98.1893692,97.84992981,98.54882813,103.3489609,104.3807678,102.2668762,63.46731949,53.84628,73.63205719,5.262050152
56,,,,99.51828003,99.0009079,100.0669785,109.9874878,110.1125031,109.8560715,63.98077011,54.81435,73.58981323,
57,,,,100.3407135,99.80014801,100.9137268,109.4859924,109.363327,109.6153183,65.33229828,56.15423,74.91763306,
58,,,,101.5366592,100.9486923,102.1586838,109.3330994,109.0323029,109.6512222,65.61290741,56.37053,75.26596069,
59,,,,102.4850769,102.0841522,102.907959,110.3565292,109.8839493,110.8576202,64.78695679,55.53108,74.48036957,
60,,,,101.0238724,100.9814529,101.0684662,112.5142822,111.6930923,113.3864594,66.43917847,56.98357,76.38455963,
61,,,,100.9436798,101.062439,100.8191376,113.7628632,113.0466766,114.5206375,68.92250824,59.06871,79.29238892,
62,,,,101.501091,101.7166214,101.2753983,114.1235123,113.5315323,114.7476807,70.11302185,60.16537,80.57795715,
63,,,,100.9897537,101.2723236,100.6940231,114.3332672,113.869751,114.8205338,75.69882202,,86.50887299,
64,,,,,,,,,,,,,
65,92.84866333,92.77794647,92.91124725,121.526619,122.5994873,120.4071808,82.86219788,78.66983032,87.22846222,30.69215965,29.50936,31.90497017,4.020989895
66,92.29968262,92.39279938,92.22059631,122.4302368,123.2248001,121.6014404,86.28616333,81.62586975,91.13822937,32.69947815,31.31875,34.11875153,3.916719913
67,92.6517868,92.42970276,92.8456192,123.1524734,123.5725632,122.7143021,89.21082306,84.49651337,94.11921692,33.74993896,32.2619,35.28256989,4.083010197
68,93.37818146,93.31687927,93.4353714,123.645752,123.9046478,123.3756485,90.78518677,86.426651,95.3237915,36.07695007,36.18753,35.96286011,3.938780069
69,93.24468994,93.06253815,93.41513062,124.5789108,124.7536087,124.3965836,95.26943207,90.63372803,100.0971603,37.51898956,36.5479,38.52225113,4.776519775
70,93.37232971,93.25019073,93.48679352,120.3232117,121.3099976,119.2928467,97.54611969,93.01107788,102.2693787,39.41331863,37.54723,41.34383011,4.83382988
71,93.58052826,93.48825836,93.66712952,117.6694717,119.5957031,115.6577301,99.15142822,94.92404175,103.552948,43.03231049,40.98465,45.15119934,4.466080189
72,,,,114.9600525,116.7949295,113.0435104,95.40425873,91.36876678,99.60598755,45.30730057,42.54465,48.16622925,4.370389938
73,,,,116.2692108,117.725563,114.7479172,96.14040375,92.39228821,100.0441666,48.73310852,45.42249,52.1595192,4.878550053
74,94.18624878,93.86740112,94.48465729,114.5444183,116.3537674,112.654007,94.9876709,91.38948822,98.73783112,51.41638184,47.74614,55.21667862,4.629459858
75,94.24504852,94.06317139,94.41581726,115.2318878,116.9787903,113.405983,94.7192688,91.45410156,98.12564087,53.28213882,49.2762,57.43416977,4.470389843
76,94.65384674,94.40228271,94.89022064,116.2337036,117.800972,114.5958328,95.01463318,92.05164337,98.10569763,55.48424911,51.3698,59.74895859,4.477210045
77,,,,114.9832687,116.7746887,113.1108627,95.73023224,93.11688232,98.45749664,56.43402863,52.19238,60.83253098,4.535510063
78,95.09250641,94.85182953,95.31891632,114.5266571,116.2171631,112.7591171,97.50623322,95.03002167,100.0914536,55.32749176,51.09034,59.72433853,4.449100018
79,95.24926758,95.01589203,95.46903229,114.0009918,115.852272,112.0647125,100.8063126,98.36582184,103.3546295,54.97652054,,59.04463959,4.506219864
80,95.63632965,95.38252258,95.87506104,,,,,,,,,,
81,,,,,,,53.96905899,58.42649841,49.01576996,10.67963982,12.3362,8.852190018,3.188750029
